AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$ TEME NOSSO PODER!;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;;;;;;;x;;;
WE_LOSE_GP_DESC_MEDIUM1;Seguindo o persistente declínio do nosso país, o $TAG_0_1$ assume uma posição mais elevada entre as nações do mundo ao ascender à posição de uma das grandes potências, expandindo sua estima global, provando que a natureza não tolera um vácuo.;;Dank unserem fortwährenden Niedergang nimmt $TAG_0_1$ eine höhere Stellung unter den Nationen dieser Welt als eine der Großmächte ein, stärkt ihr globales Ansehen, und beweist, dass die Natur kein Vakuum toleriert.;;;;;;;;x;;;
WE_LOSE_GP_DESC_SHORT1;Seguindo o persistente declínio do nosso país, o $TAG_0_1$ assume uma posição mais elevada entre as nações do mundo, ascendendo à posição de uma das grandes potências.;;Dank unserem fortwährenden Niedergang nimmt $TAG_0_1$ eine höhere Stellung unter den Nationen dieser Welt als eine der Großmächte ein.;;;;;;;;x;;;
CRISIS_START_TITLE1;Conflito começou!;;Konflikt in Gang gesetzt!;;;;;;;;x;;;
CRISIS_START_DESC_LONG1;Ninguém pode dizer se ainda há esperança de resolver essa questão pacificamente, agora que as grandes potências do mundo estão tomando posição na luta pelo poder no início do conflito internacional. Um acordo diplomático ainda pode ser viável, mas o tempo está se esgotando e os participantes agressivos estão atrasando uma solução com jogos de poder na política de atrito e estão pressionando para evitar concessões. Eles podem em breve encontrar-se em guerra.;;Niemand kann sagen, ob noch Hoffnung besteht, diese Angelegenheit friedlich zu lösen, nun da die Großmächte der Welt im Machtkampf des beginnenden, internationalen Konflikts Position beziehen. Ein diplomatisches Abkommen könnte noch machbar sein, doch die Zeit läuft davon, und die aggressiven Teilnehmer verzögern eine Lösung mit Muskelspielen und Machtspielen in der Politik der Zermürbung und machen Druck, um Zugeständnisse zu verhindern. Sie könnten sich schon bald im gefürchteten Kriegszustand wiederfinden.;;;;;;;;x;;;
CRISIS_START_DESC_MEDIUM1;As grandes potências do mundo assumem posição em uma luta pelo poder. Um acordo diplomático ainda pode ser viável, mas o tempo está se esgotando e os participantes agressivos estão atrasando uma solução com jogos de poder na política.;;Die Großmächte der Welt beziehen in einem Machtkampf Position. Ein diplomatisches Abkommen könnte noch machbar sein, doch die Zeit läuft davon, und die aggressiven Teilnehmer verzögern eine Lösung mit Muskelspielen und Machtspielen in der Politik.;;;;;;;;x;;;
CRISIS_START_DESC_SHORT1;As grandes potências do mundo assumem posição em uma luta pelo poder. Um acordo diplomático ainda pode ser viável, mas o tempo está se esgotando.;;Die Großmächte der Welt beziehen in einem Machtkampf Position. Ein diplomatisches Abkommen könnte noch machbar sein, doch die Zeit läuft davon.;;;;;;;;x;;;
CRISIS_END_TITLE1;CRISE EVITADA!;;KONFLIKT VERHINDERT!;;;;;;;;x;;;
CRISIS_END_DESC_LONG1;"As grandes potências anunciam a ""paz em nosso tempo"" após as cúpulas que encontraram uma solução diplomática para o início do conflito internacional, que muitos acreditam que teria levado à guerra sem concessões. ""Declaramos que não há intenção de guerra entre nossos povos"", disseram os dois lados. Observadores atentos indicam que um lado foi bastante vitorioso, enquanto o outro teve que aceitar concessões amargas, o que comprometeu a longevidade do acordo assinado.";;Die Großmächte verkünden 'Frieden in unserer Zeit', nachdem sie in Gipfeltreffen eine diplomatische Lösung im beginnenden internationalen Konflikt fanden, der nach Meinung vieler ohne Kompromisse zu einem Krieg geführt hätte. 'Wir erklären, dass zwischen unseren Völkern keine Kriegsabsicht besteht', äußerten beide Seiten. Wachsame Beobachter deuten an, dass eine Seite durchaus als Sieger hervorging, während die andere bittere Zugeständnisse und heftigen Prestigeverlust hinnehmen musste, was die Langlebigkeit des unterzeichneten Abkommens in Frage stellt.;;;;;;;;x;;;
CRISIS_END_DESC_MEDIUM1;"As grandes potências anunciam a ""paz em nosso tempo"" após as cúpulas que encontraram uma solução diplomática para o início do conflito internacional, que muitos acreditam que teria levado à guerra sem concessões.";;Die Großmächte verkünden 'Frieden in unserer Zeit', nachdem sie in Gipfeltreffen eine diplomatische Lösung im beginnenden internationalen Konflikt fanden, der nach Meinung vieler ohne Kompromisse zu einem Krieg geführt hätte.;;;;;;;;x;;;
CRISIS_END_DESC_SHORT1;As grandes potências proclamam a “paz em nosso tempo” após as cúpulas encontrarem uma solução diplomática para o início do conflito internacional e para evitar a guerra.;;Die Großmächte verkünden 'Frieden in unserer Zeit', nachdem sie in Gipfeltreffen eine diplomatische Lösung im beginnenden internationalen Konflikt fanden und Krieg vermeideten.;;;;;;;;x;;;
RESEARCH_NEWS_TITLE_LARGE2;Avanço no(a) $TAG_0_0$!;;Erfolg in $TAG_0_0$!;;;;;;;;;x;;
RESEARCH_NEWS_LARGE2;Cientistas $TAG_0_0_ADJ$ nunciaram ontem que, após meses de pesquisas dedicadas e focadas, um novo avanço no campo $STRING_0_1$ foi feito. Espera-se que os empreendedores e o governo do(a) $TAG_0_0$ em breve comecem a colocar em prática esse novo conhecimento adquirido, aplicando-o de maneira prática em todo o país.;;$TAG_0_0_ADJ$e Wissenschaftler verkündeten gestern nach Monaten konzentrierter und engagierter Forschung einen bahnbrechenden Erfolg im $STRING_0_1$-Forschungsfeld. Es wird erwartet, dass Unternehmer und Regierung in $TAG_0_0$ schon bald die neuen Erkenntnisse gewinnbringend in der gesamten Nation einsetzen.;;;;;;;;;x;;
RESEARCH_NEWS_TITLE_MEDIUM2;Breakthrough inAvanço no(a);;Erfolg in $TAG_0_0$!;;;;;;;;;x;;
RESEARCH_NEWS_MEDIUM2;Cientistas $TAG_0_0_ADJ$ anunciaram um avanço no campo $STRING_0_1$. Esse novo conhecimento logo será aplicado de maneira prática, disse um dos pesquisadores.;;$TAG_0_0_ADJ$e Wissenschaftler verkündeten einen bahnbrechenden Erfolg im $STRING_0_1$-Forschungsfeld. Die neuen Erkenntnisse werten laut einem der Forscher schon bald gewinnbringend eingesetzt werden.;;;;;;;;;x;;
RESEARCH_NEWS_TITLE_SMALL2;Avanço no(a) $TAG_0_0$!;;Erfolg in $TAG_0_0$!;;;;;;;;;x;;
RESEARCH_NEWS_SMALL2;Cientistas $TAG_0_0_ADJ$ anunciaram recentemente um avanço no campo $STRING_0_1$.;;$TAG_0_0_ADJ$e Wissenschaftler verkündeten kürzlich einen bahnbrechenden Erfolg im $STRING_0_1$-Forschungsfeld.;;;;;;;;;x ;;
COMMUNIST_REVOLUTION_NEWS_TITLE_LARGE_COMMUNIST;TRIUNFO DO COMUNISMO NO(A) $TAG_0_0_UPPER$!;;KOMMUNISMUS TRIUMPHIERT IN $TAG_0_0_UPPER$!;;;;;;;;;;;x
COMMUNIST_REVOLUTION_NEWS_LARGE_COMMUNIST;Trabalhadores do mundo, uni-vos!' Mais uma vez, nosso grito de guerra demonstrou ser adequado para uma revolução tão vitoriosa. Os poderes corruptos do capitalismo não podem deter o desejo do proletariado por um futuro melhor. Recebemos boas notícias de nossos camaradas no(a) $TAG_0_0$,que conseguiram revoltar-se contra bandidos e ladrões que maltratavam e exploravam o povo comum. Eles apreenderam os poderes governamentais, levando-os de volta ao devido lugar: as mãos do povo, representadas pelo comitê do povo: $STRING_0_0$!;;Unser Aufruf 'Proletarier aller Länder, vereinigt Euch!' zeigt sich erneut mehr als passend für eine so siegreiche Revolution. Die korrupten Machenschaften des Kapitalismus können den Wunsch des Proletariats auf eine bessere Zukunft nicht ersticken. Wir erhielten frohe Kunde von unseren Genossen in $TAG_0_0$, deren Rebellion gegen die Gauner und Diebe, die das Volk misshandeln und ausnutzen, sich im Aufwind befindet. Sie haben die Regierungsaufgaben dorthin übertragen, wo sie hingehören: in die Hand des Volkes, repräsentiert durch ein Volkskomitee: $STRING_0_0$!;;;;;;;;;;;x
COMMUNIST_REVOLUTION_NEWS_TITLE_MEDIUM_COMMUNIST;COMUNISMO NO(A) $TAG_0_0_UPPER$!;;KOMMUNISMUS IN $TAG_0_0_UPPER$!;;;;;;;;;;;x
COMMUNIST_REVOLUTION_NEWS_MEDIUM_COMMUNIST;Trabalhadores do mundo, uni-vos!' Este grito de guerra pode ser ouvido hoje em todo o $TAG_0_0$, onde os nossos camaradas comunistas foram vitoriosos em derrubar o governo e estabelecer o único Partido do Povo: $STRING_0_0$!;;Der Aufruf 'Proletarier aller Länder, vereinigt Euch!' erschallt heute in ganz $TAG_0_0$, wo unsere kommunistischen Genossen die Regierung erfolgreich stürzten und die einzig wahre Volkspartei etablierten: $STRING_0_0$!;;;;;;;;;;;x
COMMUNIST_REVOLUTION_NEWS_TITLE_SMALL_COMMUNIST;REVOLUÇÃO!;;REVOLUTION!;;;;;;;;;;;x
COMMUNIST_REVOLUTION_NEWS_SMALL_COMMUNIST;Trabalhadores do mundo, uni-vos!' Este grito de guerra pode ser ouvido hoje ao longo do(a) $TAG_0_0$, onde nossos camaradas foram vitoriosos em derrubar os corruptos bandidos capitalistas!;;Der Aufruf 'Proletarier aller Länder, vereinigt Euch!' erschallt heute in ganz $TAG_0_0$, wo unsere Genossen die korrupten, kapitalistischen Gauner erfolgreich stürzten!;;;;;;;;;;;x
battle_we_lose_large_censored_press;Relatórios do campo nos dizem que, em $DATE_LONG_0$, nossas corajosas tropas fizeram uma retirada tática da batalha contra o $TAG_0_3$ em $STRING_0_3$. Isso se mostrou necessário para maximizar nosso elemento de imprevisibilidade e surpresa. $VALUE_INT_0_4$ soldados inimigos foram mortos pelos nossos valentes rapazes. Embora $VALUE_INT_0_2$ de nossos soldados ainda não tenhamos informações, é importante notar que muitas de nossas tropas permanecem escondidas para surpreender o inimigo em uma emboscada, mostrando verdadeira coragem e resiliência!;;Meldungen von der Front berichten, dass unsere tapferen Truppen am $DATE_LONG_0$ einen taktischen Rückzug vom Kampf gegen $TAG_0_3$ in $STRING_0_3$ antraten. Dies erwies sich zur Maximierung unseres Überraschungselements und unserer Unberechenbarkeit als notwendig. $VALUE_INT_0_4$ feindliche Soldaten fanden durch unsere wackeren Jungs den Tod. Auch wenn $VALUE_INT_0_2$ unserer Soldaten noch vermisst werden, sollte nicht vergessen werden, dass viele unserer Truppen weiterhin im Hinterhalt auf den Feind lauern und wahre Tapferkeit und Widerstandskraft beweisen.;;;;;;;;;;;x
battle_we_lose_medium_censored_press;On $DATE_LONG_0$, a tactical retreat from the battle against $TAG_0_3$ has been proven necessary, in order to maximise our element of surprise! $VALUE_INT_0_2$ of our soldiers are said to be hiding for an ambush, while $VALUE_INT_0_4$ enemy troops have been killed!;;Am $DATE_LONG_0$ erwies sich ein taktischer Rückzug vom Kampf gegen $TAG_0_3$ zur Maximierung unseres Überraschungselements als notwendig. Schätzungsweise $VALUE_INT_0_2$ unserer Soldaten verbergen sich weiterhin im Hinterhalt und $VALUE_INT_0_4$ feindliche Truppen fanden den Tod.;;;;;;;;;;;x
battle_we_lose_small_censored_press;On $DATE_LONG_0$, a tactical retreat has been conducted from the battle against $TAG_0_3$. It is thought $VALUE_INT_0_2$ of our troops are in hiding, preparing for an ambush!;;Am $DATE_LONG_0$ kam es zum taktischen Rückzug vom Kampf gegen $TAG_0_3$. Schätzungsweise $VALUE_INT_0_2$ unserer Soldaten verbergen sich weiterhin im Hinterhalt und lauern auf den Feind.;;;;;;;;;;;x 
battle_we_lose_censored_title_large;Avanço do inimigo interrompido em $STRING_0_3$!;;Feindlicher Vorstoß in $STRING_0_3$ verzögert!;;;;;;;;;;;x
battle_we_lose_censored_large;They were outnumbered forty to one in some sections of the front, and still held the line' a high military commander praised the bravery of our soldiers, who managed to delay enemy advance in $STRING_0_3$ for as long as it was strategically feasible, and inflicted $VALUE_INT_0_2$ of casualties against our foes. 'We are not ready to publish the number of casualties on our side' a government official replied, when asked about our own losses. 'Our people must rally behind the government when it comes to national defence' he challenged the sceptics.;;Ein hochrangiger militärischer Befehlshaber lobpreiste die Tapferkeit unserer Soldaten, die 'an manchen Frontabschnitten vierzig gegen einen in der Unterzahl waren und dennoch die Stellung hielten' und somit einen feindlichen Vorstoß in $STRING_0_3$ so lange wie strategisch sinnvoll hinauszögerten. $VALUE_INT_0_2$ feindliche Soldaten fanden den Tod. 'Wir haben noch keine Zahlen unserer eigenen Verluste', so ein Regierungssprecher auf unsere diesbezügliche Frage. 'Wir brauchen den Rückhalt unseres Volkes, wenn es um die nationale Verteidigung geht', forderte er alle Skeptiker heraus.;;;;;;;;;;;x
battle_we_lose_censored_title_medium;Inimigo atrasado em $STRING_0_3$;;Feind in $STRING_0_3$ aufgehalten;;;;;;;;;;;x
battle_we_lose_censored_medium;Our brave soldiers succeeded in slowing down enemy advance against our territory, fighting a pitched battle against outnumbering force from $TAG_0_2$. 'If we lose every battle in such a great fashion, we might as well win this entire war' a high ranking officer commented.;;Unsere tapferen Soldaten konnten den feindl. Vorstoß mit Erfolg in offener Feldschlacht gegen die zahlenmäßig überlegenen Truppen von $TAG_0_2$ verzögern. 'Wenn wir jedes Gefecht auf so großartige Art verlieren, können wir den Krieg auch gewinnen', sagte ein hochrangiger Offizier.;;;;;;;;;;;x
battle_we_lose_censored_title_small;Vitória moral em $STRING_0_3$;;Moralischer Sieg in $STRING_0_3$;;;;;;;;;;;x
battle_we_lose_censored_small;Em $DATE_LONG_0$ evacuamos com sucesso as tropas da batalha de $STRING_0_3$, causando $VALUE_INT_0_2$ baixas, mas deixando $TAG_0_2$ no controle do campo.;;Am $DATE_LONG_0$ evakuierten wir erfolgreich Truppen aus dem Gefecht in $STRING_0_3$ mit $VALUE_INT_0_2$ gegnerischen Verlusten, mussten jedoch $TAG_0_2$ die Kontrolle des Feldes überlassen.;;;;;;;;;;;x
war_we_lose_censored_large_title;NOSSOS MENINOS VOLTAM PARA CASA.\nPAZ COM $TAG_2_0_UPPER$ ASSINADO!;;UNSERE JUNGS KEHREN HEIM.\nFRIEDEN MIT $TAG_2_0_UPPER$ UNTERZEICHNET!;;;;;;;;;;;x
war_we_lose_censored_large_desc;"Em $DATE_LONG_1$ nosso governo decidiu se render na guerra contra $TAG_2_0$. A guerra, conhecida como $STRING_0_0$, durou de $DATE_SHORT_0$ até $STRING_9_0$, e o resultado foi de $STRINGS_LIST_4$. ""Nós não demos uma piada e podemos nos orgulhar de nossos meninos, nós provamos não ser um oponente fácil, mas no final, não valeu o derramamento de sangue de nossa juventude"", comentaram oficiais do governo. Todos os cidadãos devem celebrar o retorno de nossos filhos, mas as celebrações oficiais ainda não foram datadas.";;Am $DATE_LONG_1$ entschloss sich unsere Regierung, im Krieg gegen $TAG_2_0$ nachzugeben. Der auch als $STRING_0_0$ bekannte Krieg tobte seit $DATE_SHORT_0$ über $STRING_9_0$ und das Ergebnis war $STRINGS_LIST_4$. 'Wir gaben kein Pardon und können stolz auf unsere Jungs sein, wir haben bewiesen, kein leichter Gegner zu sein', kommentierten Regierungsvertreter, 'Doch am Ende war es kein weiteres Blutvergießen unserer Jugend wert'. Alle Bürger sollten die Heimkehr unserer Söhne bejubeln, offizielle Feierlichkeiten wurden allerdings noch nicht datiert.;;;;;;;;;;;x
war_we_lose_censored_medium_title;PAZ COM $TAG_2_0_UPPER$!;;FRIEDEN MIT $TAG_2_0_UPPER$!;;;;;;;;;;;x
war_we_lose_censored_medium_desc;Em $DATE_LONG_1$ nosso governo decidiu se render na guerra contra $TAG_2_0$. A guerra, conhecida como $STRING_0_0$, durou de $DATE_SHORT_0$ até $STRING_9_0$, e o resultado foi de $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ entschloss sich unsere Regierung, im Krieg gegen $TAG_2_0$ nachzugeben. Der auch als $STRING_0_0$ bekannte Krieg tobte seit $DATE_SHORT_0$ über $STRING_9_0$ und das Ergebnis war $STRINGS_LIST_4$.;;;;;;;;;;;x
war_we_lose_censored_small_title;Paz com $TAG_2_0$;;Frieden mit $TAG_2_0$;;;;;;;;;;;x
war_we_lose_censored_small_desc;$STRING_0_0$ terminou com a nossa rendição ao vencedor inesperado, $TAG_2_0$.;;$STRING_0_0$ endete mit unserer Kapitulation und dem unerwarteten Sieger $TAG_2_0$.;;;;;;;;;;;x 
CRISIS_START_TITLE2;A tensão aumenta!;;Spannungen nehmen zu!;;;;;;;;x;;;
CRISIS_START_DESC_LONG2;Após meses de crescente pressão, as tensões no(a) $STRING_0_0$ chegamos a um ponto em que temos uma crise internacional em nossas mãos. As grandes potências estão tentando encontrar uma solução pacífica para evitar uma escalada maior, mas também há algumas que procuram aumentar sua influência. Atividade diplomática frenética está ocorrendo enquanto as Grandes Potências clamam por influência. Se uma resolução não for encontrada, à medida que mais e mais pessoas de fora na disputa tomarem partido, um incidente no(a) $STRING_0_0$ poderá provocar uma guerra.;;Nach Monaten zunehmendem Drucks haben die Spannungen in $STRING_0_0$ einen Punkt erreicht, der zu einem handfesten internationalen Konflikt wird. Die Großmächte suchen nach einer friedlichen Lösung, um eine weitere Eskalation zu verhindern, doch es gibt auch einige, die ihren Einfluß ausdehnen wollen. Panische diplomatische Handlungen finden statt, während die Großmächte mehr Einfluss fordern. Wenn keine Lösung gefunden wird, während zunehmend Außenstehende im Disput Seiten einnehmen, kann ein Vorfall in $STRING_0_0$ durchaus einen Krieg auslösen.;;;;;;;;x;;;
CRISIS_START_DESC_MEDIUM2;Grandes potências estão disputando influência no(a) $STRING_0_0$, e as tensões aumentaram dramaticamente na região. Uma solução pacífica está sendo procurada pelas Grandes Potências em uma tentativa de evitar qualquer nova escalada, mas ainda resta saber se o conflito pode ser evitado.;;Großmächte wetteifern um Einfluss in $STRING_0_0$ und die Spannungen sind in der Region dramatisch angestiegen. Um jede weitere Eskalation zu vermeiden, suchen die Großmächte nach einer friedlichen Lösung, doch noch ist nicht sicher, ob ein Konflikt vermieden werden kann.;;;;;;;;x;;;
CRISIS_START_DESC_SHORT2;As tensões no(a) $STRING_0_0$ As tensões em $ STRING_0_0 $ se transformaram em uma grande crise, enquanto as Grandes Potências tentam ganhar influência na região. Atividade diplomática frenética está em andamento para tentar evitar a guerra.;;Spannungen in $STRING_0_0$ ufern in Konflikt aus, während Großmächte in der Region mehr Einfluss anstreben. Panische diplomatische Aktivitäten versuchen, einen Krieg zu verhindern.;;;;;;;;x;;;
CRISIS_END_TITLE2;As tensões estão diminuindo;;Spannungen nehmen ab;;;;;;;;x;;;
CRISIS_END_DESC_LONG2;O alívio mundial segue a notícia de que uma solução pacífica foi encontrada no caldeirão diplomático do $STRING_0_0$. <CrisisWinner++++++>  conseguiu aumentar sua influência com o apoio das grandes potências. Uma conferência internacional, após semanas cheias de manobras diplomáticas, encerrou com sucesso o conflito. No momento, uma guerra foi evitada, embora nem todos estejam satisfeitos com o resultado. Resta ver se outra força irá desafiar o <CrisisWinner++++++> no futuro.;;Weltweite Erleichterung folgt auf die Nachricht, dass eine friedliche Lösung im diplomatischen Hexenkessel $STRING_0_0$ gefunden wurde. <CrisisWinner++++++> konnte mit dem Rückhalt der Großmächte seinen Einfluss erhöhen. Eine internationale Konferenz, nach Wochen voll diplomatischer Manöver, beendete den Konflikt erfolgreich. Für den Augenblick wurde ein Krieg verhindert, auch wenn nicht alle mit dem Ergebnis zufrieden sind. Es bleibt abzuwarten, ob eine andere Macht <CrisisWinner++++++> in der Zukunft herausfordern wird.;;;;;;;;x;;;
CRISIS_END_DESC_MEDIUM2;O conflito internacional no(a) $STRING_0_0$ encontrou uma solução pacífica depois de uma conferência diplomática das grandes potências. <CrisisWinner++++++> conseguiu aumentar sua influência sem recorrer à guerra. Resta ver se a paz durará.;;Der internationale Konflikt in $STRING_0_0$ fand nach einer diplomatischen Konferenz der Großmächte eine friedliche Lösung. <CrisisWinner++++++> konnte seinen Einfluss erhöhen, ohne zu Kriegsmitteln greifen zu müssen. Es bleibt abzuwarten, ob der Frieden halten wird.;;;;;;;;x;;;
CRISIS_END_DESC_SHORT2;Um conflito no(a) $STRING_0_0$ foi resolvido após uma conferência das principais potências e impediu a guerra. <CrisisWinner++++++> aumentou sua influência com sucesso.;;Ein Konflikt in $STRING_0_0$ wurde nach einer Konferenz der Großmächte gelöst und Krieg verhindert. <CrisisWinner++++++> konnte erfolgreich seinen Einfluss erhöhen.;;;;;;;;x;;;
OTHER_NEW_GP_DESC_LONG2;$TAG_0_1$ melhorou seu status por vários anos e agora é uma das grandes potências do mundo. A reputação $TAG_0_1_ADJ$ cresceu rapidamente com a aceitação internacional do novo status e está previsto que o $TAG_0_1$ continue a expandir sua influência. O $TAG_0_0$ não conseguiu deter o recente declínio e agora é classificado como uma força secundária nos assuntos mundiais. Esta perda de status deixa sua marca e sua influência internacional já caiu significativamente.;;$TAG_0_1$ hat seinen Status seit einigen Jahren verbessert und zählt nun zu den Großmächten der Welt. Die $TAG_0_1_ADJ$e Reputation ist mit der internationalen Akzeptanz des neuen Status rapide gewachsen und es ist damit zu rechnen, dass $TAG_0_1$ seinen Einfluss weiter ausbauen will. $TAG_0_0$ konnte den Niedergang der letzten Zeit nicht aufhalten und wird nur noch als zweitrangige Macht in den Angelegenheiten des Weltgeschehens eingeordnet. Dieser Statusverlust hinterlässt seine Spuren und schon jetzt ist ihr internationaler Einfluss deutlich gesunken.;;;;;;;;x;;;
OTHER_NEW_GP_DESC_MEDIUM2;$TAG_0_1$ é amplamente aceito pela comunidade internacional como uma grande potência. O crescimento constante no poder desse estado não é bem-vindo em todos os lugares. $TAG_0_0$ é considerada uma força secundária, para seu desagrado.;;$TAG_0_1$ wird weitgehend von der internationalen Gemeinschaft als Großmacht akzeptiert. Der stete Wachstum an Macht dieses Staates wird nicht überall begrüßt. $TAG_0_0$ gilt nur noch als zweitrangige Macht, sehr zu ihrem Missfallen.;;;;;;;;x;;;
OTHER_NEW_GP_DESC_SHORT2;O estado emergente do(a) $TAG_0_1$ substituiu o $TAG_0_0$ aos olhos da comunidade internacional por mudanças no status e influência internacional como uma grande potência.;;Der aufstrebende Staat $TAG_0_1$ hat $TAG_0_0$ in den Augen der internationalen Gemeinschaft nach Änderungen in Status und internationalem Einfluss als Großmacht abgelöst.;;;;;;;;x;;;
AI_LOVES_US_TITLE4;Relações mornas;;Wohlwollende Beziehungen;;;;;;;;x;;;
AI_LOVES_US_DESC4_LONG;Nosso correspondente foi informado por suas fontes dentro do Ministério das Relações Exteriores que nas últimas semanas, o líder do $TAG_0_0$ fez um grande discurso ao seu povo elogiando nossa nação e as conquistas de nosso povo. Acredita-se que o discurso é uma tentativa do(a) $TAG_0_0$para se aproximar de nossa poderosa nação e devemos responder a essas aberturas com a cortesia típica do povo $TAG_0_1_ADJ$. Louvamos essas tentativas e esperamos que elas levem a um período contínuo de colaboração entre nossos dois países gloriosos.;;Vertrauliche Quellen des Außenministeriums sagten unserem Korrespondenten in den letzten Wochen, dass der Herrscher von $TAG_0_0$ vor seinem Volk eine große Lobrede auf unsere Nation und die Leistungen unseres Volkes hielt. Man nimmt an, dass $TAG_0_0$ mit dieser Rede näher an unsere große Nation heranrücken möchte und wir sollten den Lobeshymnen mit der typischen Höflichkeit des $TAG_0_1_ADJ$en Volkes begegnen. Wir schätzen diese Absicht sehr und hoffen, dass sie zu einer andauernden Phase der Zusammenarbeit zwischen unseren beiden glorreichen Ländern führen wird.;;;;;;;;x;;;
AI_LOVES_US_DESC4_MEDIUM;Depois de uma reunião supostamente muito produtiva com nosso embaixador na semana passada, um representante do povo $TAG_0_0_ADJ$ fez um discurso elogiando nossa nação e governo, abrindo as portas para um novo diálogo de colaboração e parceria.;;Nach einem sehr produktiven Treffen mit unserem Botschafter letzte Woche, hielt ein Repräsentant des $TAG_0_0_ADJ$en Volkes auf den Stufen des Außenministeriums eine Lobrede auf unsere Nation und Regierung. Dies ermöglicht einen neuen Dialog der Zusammenarbeit und Partnerschaft.;;;;;;;;x;;;
AI_LOVES_US_DESC4_SHORT;Uma nova era de amizade entre nossas nações começou', estas foram as palavras do embaixador $TAG_0_0_ADJ$ enquanto ele falava com jornalistas reunidos após as conversações na capital.;;Der  $TAG_0_0_ADJ$e Botschafter sagte zu versammelten Journalisten nach Gesprächen in der Hauptstadt: 'Eine neue Ära der Freundschaft hat zwischen unseren Nationen begonnen'.;;;;;;;;x;;;
RESEARCH_NEWS_TITLE_LARGE2;Avanço no(a) $TAG_0_0$!;;Durchbruch in $TAG_0_0$!;;;;;;;;;x;;
RESEARCH_NEWS_LARGE2;Cientistas $TAG_0_0_ADJ$ anunciaram ontem que, após meses de pesquisas dedicadas e focadas, um novo avanço no campo da $STRING_0_1$ foi feito. Espera-se que os empreendedores e o governo do(a) $TAG_0_0$ em breve comecem a colocar em prática esse novo conhecimento adquirido, aplicando-o de maneira prática em todo o país.;;$TAG_0_0_ADJ$e Wissenschaftler verkündeten gestern nach Monaten konzentrierter und engagierter Forschung einen bahnbrechenden Erfolg im $STRING_0_1$-Forschungsfeld. Es wird erwartet, dass Unternehmer und Regierung in  $TAG_0_0$ schon bald die neuen Erkenntnisse gewinnbringend in der gesamten Nation einsetzen.;;;;;;;;;x;;
RESEARCH_NEWS_TITLE_MEDIUM2;Avanço no(a) $TAG_0_0$!;;Durchbruch in $TAG_0_0$!;;;;;;;;;x;;
RESEARCH_NEWS_MEDIUM2;Cientistas $TAG_0_0_ADJ$ anunciaram um avanço no campo da $STRING_0_1$. Esse novo conhecimento logo será aplicado de maneira prática, disse um dos pesquisadores.;;$TAG_0_0_ADJ$e Wissenschaftler verkündeten einen bahnbrechenden Erfolg im $STRING_0_1$-Forschungsfeld. Die neuen Erkenntnisse werten laut einem der Forscher schon bald gewinnbringend eingesetzt werden.;;;;;;;;;x;;
RESEARCH_NEWS_TITLE_SMALL2;Avanço no(a) $TAG_0_0$!;;Durchbruch in $TAG_0_0$!;;;;;;;;;x;;
RESEARCH_NEWS_SMALL2;Cientistas $TAG_0_0_ADJ$ anunciaram recentemente um avanço no campo da $STRING_0_1$.;;$TAG_0_0_ADJ$e Wissenschaftler verkündeten kürzlich einen bahnbrechenden Erfolg im $STRING_0_1$-Forschungsfeld.;;;;;;;;;x;;
INVENTION_NEWS_TITLE_LARGE2;Nova patente!;;Neues Patent!;;;;;;;;;;;x
INVENTION_NEWS_LARGE2;Relatório de Ciência: melhorias e inovações no campo da $STRING_0_1$ foram patenteadas e registradas por pesquisadores do(a) $TAG_0_0$. A documentação desses avanços, embora atualmente um segredo mantido a portas fechadas, deve se espalhar progressivamente para outras terras e, com o tempo, contribuir para o progresso da ciência no mundo.;;Forschungsbericht: Verbesserungen und Innovationen im Feld von $STRING_0_1$ wurden von Forschern in $TAG_0_0$ patentiert und eingetragen. Es wird damit gerechnet, dass die Dokumentation dieser Fortschritte trotz bisheriger strenger Geheimhaltung in anderen Ländern weite Verbreitung finden wird und dem wissenschaftlichen Fortschritt der gesamten Welt nutzen wird.;;;;;;;;;;;x
INVENTION_NEWS_TITLE_MEDIUM2;Nova patente!;;Neues Patent!;;;;;;;;;;;x
INVENTION_NEWS_MEDIUM2;Melhorias e inovações no campo da $STRING_0_1$ foram registradas no Escritório Nacional de Patentes do(a) $TAG_0_0$. ;;Verbesserungen und Innovationen im Feld von $STRING_0_1$ wurden im Nationalen Patentamt in $TAG_0_0$ eingetragen.;;;;;;;;;;;x
INVENTION_NEWS_TITLE_SMALL2;Nova patente!;;Neues Patent!;;;;;;;;;;;x
INVENTION_NEWS_SMALL2;Novas melhorias e inovações no campo da $STRING_0_1$ foram patenteadas no(a) $TAG_0_0$. ;;Neue Verbesserungen und Innovationen im Feld von $STRING_0_1$ wurden in $TAG_0_0$ patentiert.;;;;;;;;;;;x 
EDITORIAL_ABSMON;Editorial: por que é certo e apropriado odiar os anti-legitimistas - a própria providência exige isso!;;Redaktionelles: warum es richtig und angemessen ist, Anti-Legitimisten zu hassen – die Weitsicht verlangt es!Tunichtgute würden Bauerngesindel sich selbst regieren lassen (weiter auf S. 10);;;;;;;;;x;;
