institute_central_bank_title;Lei Nacional de Bancos;Loi bancaire nationale;Nationales Bankengesetz;;Ley de Banca Nacional;;;;;;;;;x;
institute_central_bank_desc;Embora nosso governo tenha, por algum tempo, mantido um banco central, algumas vozes dentro do debate econômico começaram a argumentar a favor de monopolizar a emissão de moeda para uma estrita prerrogativa governamental. Os proponentes argumentam que isso levará a um aumento na estabilidade econômica, enquanto os oponentes o consideram uma violação fundamental da liberdade de comércio.;Alors que notre gouvernement maintient depuis un certain temps une banque centrale, certaines voix s'élèvent en faveur de la monopolisation d'émission de devises selon une stricte prérogative gouvernementale. Les partisans soulignent le fait que cela renforcera la stabilité économique et les opposants y voient une violation fondamentale en termes de liberté des échanges.;Obwohl unsere Regierung bereits seit einiger Zeit eine Zentralbank unterhält, befürworten einige Wirtschaftsexperten nun, das Notenprivileg auf den Staat zu monopolisieren. Sie behaupten, dies würde zur Stabilisierung der Wirtschaft beitragen, werden die Gegner dieses Vorschlags ihn als fundamentalen Bruch der Handelsfreiheit ansehen.;;Como nuestro gobierno ha mantenido durante algún tiempo un banco central, algunas voces del debate económico han empezado a discutir a favor de monopolizar el asunto de la moneda como una prerrogativa estricta del gobierno. Los defensores sostienen que esto llevará a un aumento de la estabilidad económica, mientras que los oponentes lo consideran una brecha fundamental de la libertad de comercio.;;;;;;;;;x;
central_bank_established;Banco Central;Banque centrale;Zentralbank;;Banco Central;;;;;;;;;x;
central_bank_established_desc;Nosso banco do governo central mantém um monopólio estrito sobre a questão da moeda.;La banque centrale de notre gouvernement maintient un monopole strict sur l'émission de la devise.;Die Zentralbank unserer Regierung behält sich ein striktes Notenprivileg vor.;;Nuestro banco central del gobierno mantiene un monopolio estricto sobre la emisión de moneda.;;;;;;;;;x;
EVTNAME22540;Bolsa de Valores;Bourse;Börse;;La Bolsa;;;;;;;;;x;
EVTDESC22540;Vendendo Greenwood & Burns a 9,76, comprando por 9,5! Atman & Sons por 8.12, venda, venda!'\n\nEmpresários locais em uma de nossas províncias formaram uma joint venture para estabelecer uma bolsa de valores local voltada principalmente para o comércio de commodities. O empreendimento, sem dúvida, aumentará os esforços produtivos locais!;Vente de Greenwood & Burns à 9,76, achat à 9,5 ! Vente d'Atman & Sons à 8,12 !'\n\nDes hommes d'affaires locaux d'une de nos provinces ont créé une entreprise en participation pour établir une bourse locale principalement destinée au commerce des produits de base. Cette entreprise contribuera à coup sûr à renforcer les efforts de production locaux !;Verkaufe Greenwood & Burns bei 9.76, kaufe bei 9.5! Atman & Sons 8.12, Verkauf, Verkauf!'\n\nLokale Geschäftsmänner in einer unserer Provinzen haben ein Joint Venture-Unternehmen gegründet, um eine lokale Börse zu etablieren, die vorwiegend auf den Handel mit Verbrauchsgütern ausgerichtet ist. Dieses Unternehmen wird die lokalen Produktionsbemühungen ohne Zweifel erhöhen!;;¡Vende Greenwood & Burns a 9,76 y compra a 9,5! ¡Atman & Sons a 8,12, vende, vende!\n\nLos hombres de negocios locales de una de nuestras provincias han formado una sociedad conjunta para establecer una Bolsa local dirigida principalmente al comercio de bienes. ¡La sociedad aumentará seguramente los esfuerzos productivos locales!;;;;;;;;;x;
EVTOPTA22540;Notícias esplêndidas!;Excellente nouvelle !;Wunderbare Nachrichten!;;¡Noticias espléndidas!;;;;;;;;;x;
local_stock_exchange;Bolsa de Valores;Bourse;Börse;;La Bolsa;;;;;;;;;x;
local_stock_exchange_desc;Uma Bolsa de Valores local opera nesta província, aumentando a produção local.;Cette province abrite une bourse locale qui améliore la production locale.;In dieser Provinz gibt es eine lokale Börse, die die lokale Produktionsleistung steigert.;;Una Bolsa local opera en esta provincia, lo que aumenta el rendimiento de la producción local.;;;;;;;;;x;
EVTNAME22550;Wildcat Bills;Lois insensées;Bankenfreiheit;;Wildcat Bills;;;;;;;;;x;
EVTDESC22550;Hoje, o pânico bancário abalou um de nossos estados, depois que notícias que um banco local apresentava baixa liquidez. A situação transcendeu nacionalmente e ao parlamento, onde aqueles que se opõem ao sistema bancário desregulamentado colocam o caso como um exemplo do mau funcionamento do sistema, solicitando que o governo adote uma posição mais rígida sobre a regulamentação do setor, ao qual se opõe poderosos interesses dos círculos industriais e ao lobby do livre comércio.;Aujourd'hui, une panique bancaire a éclaté dans l'un de nos États après qu'une banque locale a émis des devises à une valeur nettement supérieure à ses liquidités. La situation a été rapportée au niveau national et au parlement et les opposants aux opérations bancaires libres en ont profité pour dénoncer un tel système et appeler le gouvernement à adopter une réglementation plus sévère du secteur bancaire, une position contraire aux puissants intérêts des cercles industriels et du lobby du libre échange.;In einem unserer Staaten ist es heute zu einem Sturm auf die Kassen gekommen, nachdem bekannt wurde, dass eine lokale Bank eine Währung zu einem Wert herausgegeben hat, der den Wert ihrer flüssigen Posten bei Weitem übertrifft. Die Situation wird nun auf nationaler Ebene und im Parlament diskutiert, wo Gegner der Bankenfreiheit diesen Fall zur Argumentation der Bankenfreiheit an sich benutzen und die Regierung zu einer strengeren Regulierung des Bankensektor aufrufen. Dem stellen sich mächtige Interessen der Industrie- und Freihandelslobby entgegen.;;Hoy, el pánico bancario ha sacudido a uno de nuestros estados, tras conocer la noticia de que un banco local ha estado emitiendo moneda por un valor muy superior a su capital líquido. La situación ha trascendido a nivel nacional y al parlamento, donde los que se oponen a la banca libre ponen el caso como ejemplo del mal funcionamiento del sistema de banca libre, solicitando que el gobierno adopte una posición más estricta sobre la regulación del sector de la banca, a la que se oponen los intereses poderosos de los círculos industriales y el lobby del libre comercio.;;;;;;;;;x;
EVTOPTA22550;A livre mercado no setor Bancário é um pilar fundamental do livre comércio.;Les opérations bancaires libres constituent un pilier fondamental du libre échange.;Die Institution der Bankenfreiheit ist ein fundamentaler Grundpfeiler der Handelsfreiheit.;;La institución de la banca libre es un pilar fundamental del libre comercio.;;;;;;;;;x;
EVTOPTB22550;Não devemos permitir que os especuladores ditem a política econômica.;Ne laissons pas les caprices des profiteurs dicter notre politique économique.;Wir dürfen uns die nationale Wirtschaftspolitik nicht von den Launen von Profitjägern diktieren lassen.;;No debemos permitir que los especuladores dicten la política económica.;;;;;;;;;x;
EVTNAME22560;Boom Econômico;Essor économique;Wirtschaftsboom;;Despegue económico;;;;;;;;;x;
EVTDESC22560;A economia do nosso país tem crescido ultimamente, após um longo período de desemprego relativamente baixo e uma população bem alimentada. Economias elevadas e uma população produtiva, combinadas com avanços no campo de instrumentos econômicos e o estabelecimento de bancos de investimento, significam que agora estamos mais bem preparados do que nunca para desenvolver nossas indústrias nacionais e levar a economia de nosso país a novos patamares.;L'économie de notre pays connaît actuellement un bel essor, après une longue période de chômage plutôt bas et de relative abondance pour la population. Une épargne importante et une population productive, combinée aux progrès réalisés dans le domaine économique et l'établissement de banques d'investissement, nous placent en bonne position pour développer nos industries nationales et faire prospérer encore plus l'économie de notre pays.;Nach einer längeren Zeit mit relativ geringer Arbeitslosigkeit und einer gut genährten Bevölkerung erfährt unsere Wirtschaft seit Kurzem einen wahren Boom. Hohe Ersparnisse und eine produktive Bevölkerung bedeuten in Kombination mit Fortschritten auf dem Gebiet wirtschaftspolitischer Instrumente, dass so gut vorbereitet sind wie nie zuvor, unsere nationalen Industrien zu entwickeln und die Wirtschaftskraft unseres Landes auf neue Höhen zu treiben.;;La economía de nuestro país ha experimentado un auge últimamente, tras un largo período de bajo desempleo y una población bien alimentada. Los grandes ahorros y una población productiva, combinados con los avances en el campo de los instrumentos económicos y el establecimiento de los bancos de inversiones significan que, ahora más que nunca, podemos desarrollar nuestras industrias nacionales y que la economía del país prospere.;;;;;;;;;;x
EVTOPTA22560;Excelente!;Excellent !;Hervorragend!;;¡Excelente!;;;;;;;;;x;
EVTOPTB22560;Nós devemos aumentar essa prosperidade;Nous devons profiter de cette affluence.;Diesen Überfluss sollten wir uns zunutze machen!;;Deberíamos impulsar esta prosperidad;;;;;;;;;x;
economic_boom;Boom Econômico;Essor économique;Wirtschaftsboom;;Despegue económico;;;;;;;;;x;
economic_boom_desc;Nossa economia está crescendo graças aos nossos bancos de investimento e a um longo período de baixa taxa de desemprego.;Notre économie est en plein essor grâce à nos banques d'investissement ainsi qu'à une longue période de chômage plutôt bas.;Dank unseren Investmentbanken und eine langen Zeitspanne mit geringer Arbeitslosigkeit boomt unsere Wirtschaft.;;Nuestra economía está despegando gracias a nuestros bancos de inversiones y a un largo período de desempleo bajo.;;;;;;;;;x;
EVTNAME22570;Falência;Faillite d'un des plus prestigieuses entreprises;Vorzeigefirma bankrott;;Bancarrota de la compañía principal;;;;;;;;;x;
EVTDESC22570;Uma das maiores empresas de um dos nossos estados faliu recentemente, após um longo período de déficit. Políticos locais solicitaram que o governo intervenha em apoio à empresa, alegando que a crise é apenas temporária e que a empresa pode voltar a se levantar caso tenha tempo para se reconstruir e consolidar. Embora pudéssemos apoiar os negócios, os membros do parlamento criticaram a ideia, chamando-a de um resumo absurdo das liberdades fundamentais do comércio e do não intervencionismo do governo.;L'une des principales entreprises d'un de nos États a fait faillite récemment, à la suite d'une longue période déficitaire. Les politiciens locaux ont demandé au gouvernement de soutenir cette entreprise, soulignant le fait que les difficultés qu'elle rencontre sont momentanées et qu'elle devrait pouvoir se remettre sur pieds moyennant un laps de temps suffisant pour se reconstruire et se consolider. Bien qu'il nous soit possible de soutenir une telle entreprise, des membres du parlement ont fustigé cette idée qu'ils ont qualifiée d'absurde en termes de libre échange et de non-interventionisme gouvernemental.;Nach längerem defizitären Betrieb ist vor Kurzem eine der größten Firmen in unserem Staat bankrott gegangen. Lokale Politiker haben die Regierung gebeten, zugunsten der Firma einzuschreiten. Sie behaupten, der Abschwung sei nur vorübergehend, und dass die Firma wieder auf die Füße kommen würde, gäbe man ihr nur etwas Zeit zum Neuaufbau und Konsolidieren. Obwohl wir die Firma unterstützen könnten, haben lautstarke Parlamentsmitglieder die Idee in der Luft zerrissen und sie eine absurde Einschränkung der fundamentalen Handelsfreiheit und eine Abkehr von der Nichteinmischungspolitik der Regierung genannt.;;Una de las compañías más importantes de uno de nuestros estados se ha ido a la bancarrota hace poco, después de un largo período con déficit. Los políticos locales han solicitado que el gobierno intervenga en apoyo de la compañía, reclamando que el descenso es solo temporal y que la compañía puede recuperarse si se le da algún tiempo para reconstruirse y consolidarse. A pesar de que podemos apoyar a la compañía, los vocales del parlamento han criticado severamente la idea, denominándola una violación absurda de las libertades fundamentales de comercio y gobierno no intervencionista.;;;;;;;;;x;
EVTOPTA22570;Naturalmente, devemos ajudar a empresa nesse momento difícil;Naturellement, il nous faut aider la compagnie en ces temps difficiles.;Während dieser harten Zeiten müssen wir der Firma natürlich Unterstützung leisten.;;Naturalmente, debemos ayudar a la compañía en estos momentos difíciles.;;;;;;;;;x;
EVTOPTB22570;Nós não vamos gastar dinheiro do governo em apoio a uma empresa privada;Nous n'utiliserons pas l'argent du gouvernement pour soutenir une compagnie privée.;Zur Unterstützung einer privaten Firma werden wir nicht die Staatskasse belasten.;;No gastaremos el dinero del gobierno en apoyar a una compañía privada.;;;;;;;;;x;
EVTNAME22580;Monopólio da ferrovia insegura!;Trust ferroviaire découvert !;Eisenbahnkartell enttarnt!;;¡Monopolio del ferrocarril inseguro!;;;;;;;;;x;
EVTDESC22580;$COUNTRY$ foi abalado pela notícia de um suposto monopólio ferroviário, denunciado por uma comissão antitruste criada por um de nossos estados. Os capitalistas locais protestam contra as acusações, chamando-as de absurdas, já que, em sua opinião, não há premeditação na coordenação de preços e estes nem foram fixados. Muitas pessoas das classes trabalhadoras estão enfurecidas com este assunto, porque acreditam que foram espremidas pelos magnatas capitalistas que tentam se beneficiar de suas dificuldades. A dissolução do monopólio atrasará a construção da ferrovia por vários anos, mas se isso não for feito, poderá enfurecer ainda mais um grande estrato de nossa população.;$COUNTRY$ est en effervescence après avoir appris la possible existence d'un trust ferroviaire découvert par une commission antitrust mise en place dans l'un de nos États. Les capitalistes locaux qualifient ces allégations d'absurdes et soulignent l'absence de coordinateur sur les prix ou de fixation de prix. Au sein des classes ouvrières, beaucoup sont irrités par cette affaire jugeant qu'ils sont exploités par des géants du capitalisme avides de tirer profit de leur dur labeur. Le démantèlement de ce trust risque de freiner la construction ferroviaire pendant plusieurs années, mais en l'absence de réaction suscitera la colère d'un large pan de notre population.;Ganz $COUNTRY$ ist angesichts der Nachrichten über die Enttarnung eines angeblichen Eisenbahnkartells begeistert, das in einem unserer Staaten von einer Anti-Kartell-Komission enttarnt wurde. Lokale Kapitalisten schmettern die Anschuldigungen als absurd ab und behaupten, es hätte keine Preisabsprachen gegeben. Viele Angehörige der Arbeiterklasse sind über diese Angelegenheit verärgert. Sie sind der Ansicht, dass die Industriemagnaten versuchen, ihnen auch noch das letzte hart verdiente Geldstück aus der Tasche zu ziehen. Würden wir das Kartell zerschlagen, schlüge dies den Bau den lokalen Schienennetzes um Jahre zurück, aber wenn wir nichts unternehmen, würden wir große Teile unserer Bevölkerung verärgern.;;$COUNTRY$ se ve sacudido por las noticias de un supuesto monopolio de ferrocarril, denunciado por una comisión antimonopolio creada por uno de nuestros estados. Los capitalistas locales protestan contra las acusaciones, tildándolas de absurdas, ya que en su opinión, no existe premeditación en la coordinación de precios ni estos han sido fijados. Muchas personas de las clases trabajadoras están enfurecidas por este asunto, porque creen haber sido exprimidas por los magnates capitalistas que tratan de beneficiarse de sus dificultades.  La disolución del monopolio retrasará varios años la construcción del ferrocarril, pero si no se hace podría enfurecer aún más a un amplio estrato de nuestra población.;;;;;;;;;x;
EVTOPTA22580;Devemos proteger os trabalhadores a qualquer preço e o mercado deve se aberto.;Nous devons protéger nos ouvriers, coûte que coûte, et ce marché acculé doit être ouvert.;Wir müssen unsere Arbeiter um jeden Preis schützen, und dieser eingeengte Markt muss geöffnet werden.;;Debemos proteger a los trabajadores a cualquier precio, y el mercado debe abrirse.;;;;;;;;;x;
EVTOPTB22580;A liberdade de comércio não será impedida de forma alguma.;La liberté des échanges ne doit en aucun cas en pâtir.;Die Handelsfreiheit darf auf keinen Fall eingeschränkt werden.;;La libertad de comercio no sufrirá trabas de ninguna manera.;;;;;;;;;x;
BUDGET_GOLD_INCOME_DESC;Renda das minas de ouro;Revenus des mines d'or;Einkommen von Goldminen;;Ingresos de las minas de oro;;;;;;;;;x;
TOTAL_TAX_EFFICIENCY;Eficiência tributária: §Y$VAL$§W;Efficacité fiscale : §Y$VAL$§W;Steuereffizienz: §Y$VAL$§W;;Eficacia de los impuestos: §Y$VAL$§W;;;;;;;;;x;
TOTAL_TAX_EFFICIENCY_BASED;Calculado de acordo com:;Calculée à partir de :;Berechnet von:;;Calculada según:;;;;;;;;x;;
TAX_POOR_DESC;Isso controla a quantidade de renda dos estratos sociais pobres que serão coletados por meio de impostos. Uma taxa muito alta vai deixá-los com menos dinheiro para gastar em suas próprias necessidades.;Revenus des classes défavorisées qui seront perçus sous forme d'impôt. Une imposition trop élevée ne leur laissera que très peu d'argent pour subvenir à leurs propres besoins.;Dies kontrolliert, welcher Teil des Einkommens der Armenklasse als Einkommensteuer einbehalten wird. Wenn sie zu schwer besteuert werden, haben sie weniger Geld zur Deckung ihrer Bedürfnisse.;;Esto controla la cantidad de ingresos de los estratos sociales pobres que será recaudada a través de los impuestos. Una recaudación demasiado alta los dejará con menos dinero que gastar en sus propias necesidades.;;;;;;;;;x;
TAX_MIDDLE_DESC;Isso controla o valor da renda da classe média que será coletado por meio de impostos. Uma taxa muito alta vai deixá-los com menos dinheiro para gastar em suas próprias necessidades ou de negócios.;Revenus des classes moyennes qui seront perçus sous forme d'impôt. Une imposition trop élevée ne leur laissera que très peu d'argent pour subvenir à leurs propres besoins ou à leurs affaires.;Dies kontrolliert, welcher Teil des Einkommens der Mittelklasse als Einkommensteuer einbehalten wird. Wenn sie zu schwer besteuert werden, haben sie weniger Geld zur Deckung ihrer Bedürfnisse oder für ihre Geschäfte.;;Esto controla la cantidad de ingresos de los estratos sociales medios que será recaudada a través de los impuestos. Una recaudación demasiado alta los dejará con menos dinero que gastar en sus propias necesidades o en sus negocios.;;;;;;;;;x;
TAX_RICH_DESC;Isso controla a quantidade de renda dos estratos sociais ricos que serão coletados através de impostos. Uma taxa muito alta vai deixá-los com menos dinheiro para gastar em suas próprias necessidades e são menos propensos a investir em projetos como a construção de novas fábricas.;Revenus des classes supérieures qui seront perçus sous forme d'impôt. Une imposition trop élevée ne leur laissera que très peu d'argent pour subvenir à leurs propres besoins et les empêchera d'investir dans certains projets, comme la construction de nouvelles usines.;Dies kontrolliert, welcher Teil des Einkommens der Reichenklasse als Einkommensteuer einbehalten wird. Wenn sie zu schwer besteuert werden, haben sie weniger Geld und werden weniger wahrscheinlich in Projekte wie den Bau neuer Fabriken investieren.;;Esto controla la cantidad de ingresos de los estratos sociales ricos que será recaudada a través de los impuestos. Una recaudación demasiado alta los dejará con menos dinero que gastar en sus propias necesidades y hay menos probabilidad de que inviertan en proyectos como la construcción de nuevas fábricas.;;;;;;;;;x;
MIL_COST_DESC;Custos de fornecimento para seus militares.;Frais d'approvisionnement pour votre armée.;Versorgungskosten Ihres Militärs.;;Costes de suministro para tu ejército.;;;;;;;;;x;
NAT_STOCK_DESC;Custos de negócios para preencher nosso estoque nacional.;Coûts du commerce pour remplir nos réserves nationales.;Handelskosten zum Auffüllen Ihrer nationalen Vorräte.;;Costes del comercio para rellenar nuestra reserva nacional.;;;;;;;;;x;
IND_SUP_DESC;Custos do governo para subsidiar fábricas. As reservas monetárias nacionais serão usadas para ajudar as fábricas a adquirir bens e pagar os salários dos trabalhadores.;Coûts du gouvernement pour subventionner les usines. Les réserves en liquide du pays seront utilisées pour aider les usines à acheter les marchandises nécessaires et à payer les ouvriers.;Regierungskosten für Fabrikzuschüsse. Nationale Geldreserven werden dazu eingesetzt, Fabriken beim Kauf benötigter Güter und der Bezahlung der Belegschaftsgehälter zu unterstützen.;;Costes del gobierno para subvencionar fábricas. Las reservas de dinero nacional se usarán para ayudar a las fábricas a adquirir mercancías y para pagar los salarios de los trabajadores.;;;;;;;;;x;
TARIFFS_DESC;As tarifas impõem um custo adicional às mercadorias importadas e as arrecadações vão para o tesouro nacional. Tarifas negativas podem ser usadas para ajudar a subsidiar as importações do seu país.;Les droits de douane imposent un coût supplémentaire sur les biens importés et les bénéfices reviennent au trésor national. Des droits de douane négatifs peuvent être utilisés pour subventionner les importations dans votre nation.;Zölle addieren Kosten zum Preis von Importgütern, das dadurch erzielte Einkommen fließt direkt in die Staatskasse. Mit negativen Zöllen können Importe in Ihre Nation bezuschusst werden.;;Los aranceles imponen un coste adicional en las mercancías importadas y las recaudaciones van al tesoro nacional. Los aranceles negativos pueden usarse para ayudar a subvencionar importaciones para alguien de tu nación.;;;;;;;;;x;
WARSUBSIDIES_EXPENSE;Subsídios de guerra: §R$VAL$§W;Indemnités de guerre : §R$VAL$¤§W;Kriegssubventionen: §R$VAL$§W;;Subsidios de guerra: §R$VAL$§W;;;;;;;;;x;
WARINDEMNITIES_EXPENSE;Indenizações de guerra: §R$VAL$§W;Indemnités de guerre : §R$VAL$¤§W;Kriegsreparationen: §R$VAL$§W;;Indemnizaciones de guerra: §R$VAL$§W;;;;;;;;;x;
WARSUBSIDIES_INCOME;Subsídios de guerra: §G$VAL$§W;Indemnités de guerre : §G$VAL$¤§W;Kriegssubventionen: §R$VAL$§W;;Subsidios de guerra: §G$VAL$§W;;;;;;;;;x;
WARINDEMNITIES_INCOME;Indenizações de guerra: §G$VAL$§W;Indemnités de guerre : §G$VAL$¤§W;Kriegsreparationen: §R$VAL$§W;;Indemnizaciones de guerra: §G$VAL$§W;;;;;;;;;x;
REMOVE_BUDGET_DIPL_DESC;Vários custos/receitas não ajustados, apesar da diplomacia ou dos tratados de paz;Coûts/Revenus divers non soldés par la diplomatie ou des accords de paix;Verschiedene Kosten/Einnahmen, die nicht von diplomatischen Aktionen oder Friedensabkommen egalisiert werden.;;Diversos costes/ingresos sin ajustar a pesar de la diplomacia o los tratados de paz;;;;;;;;;x;
sami;Sami;Sami;Sami;;Sami;;;;;;;;;x;
pan_romanian;Romeno;Roumain;Rumänisch;;de Rumanía;;;;;;;;;x;
MODIFIER_MOBILISED;Mobilizado: $VALUE$;Mobilisation : $VALUE$;Mobilisiert: $VALUE$;;Movilizado: $VALUE$;;;;;;;;x;;
MODIFIER_OVERSEAS;Penalidade exterior: $VALUE$;Pénalité outre-mer : $VALUE$;Überseeabzug: $VALUE$;;Penalización exterior: $VALUE$;;;;;;;;x;;
TRADE_OVERSEAS_NEED;$VAL$ para províncias no exterior.\n;$VAL$ pour les provinces d'outre-mer.\n;$VAL$ für Überseeprovinzen.\n;;$VAL$ para las provincias exteriores.\n;;;;;;;;;x;
BUDGET_OVERSEAS;Manutenção no exterior;Maintenance outre-mer;Überseeunterhalt;;Ultramar;;;;;;;;;x;
BUDGET_DIPL_DESC;Vários custos/receitas não ajustados, apesar da diplomacia ou dos tratados de paz;Coûts/Revenus divers non soldés par la diplomatie ou des accords de paix;Verschiedene Kosten/Einnahmen, die nicht von diplomatischen Aktionen oder Friedensabkommen egalisiert werden.;;Diversos costes/ingresos sin ajustar a pesar de la diplomacia o los tratados de paz;;;;;;;;;x;
POP_DETAILS_INTERNAL_MIGRATION;Migração Interna:;Migration interne :;Interne Einwanderung:;;Migración interna:;;;;;;;;x;;
POP_DETAILS_EXTERNAL_MIGRATION;Migração Externa:;Migration externe :;Externe Einwanderung:;;Migración externa:;;;;;;;;x;;
POP_DETAILS_COLONIAL_MIGRATION;Migração Colonial:;Migration coloniale :;Koloniale Einwanderung:;;Emigración colonial:;;;;;;;;x;;
PRODUCTION_OUTPUT_YESTERDAY;Produzido §Y$VALUE$§W ontem.;Production de §Y$VALUE$§W hier.;Produzierte gestern §Y$VALUE$§W.;;Producción de ayer: §Y$VALUE$§W.;;;;;;;;x;;
PRODUCTION_OUTPUT_GOODS_TOOLTIP2;Prod. Máximo: §Y$CURR$§W;Production max. : §Y$CURR$§W;Max. Leistung: §Y$CURR$§W;;Producción máxima: §Y$CURR$§W;;;;;;;;;x;
PRODUCTION_CURRENT_STOCKPILE;Estoque atual: §Y$VALUE$§W;Réserve actuelle : §Y$VALUE$§W;Aktueller Vorrat: §Y$VALUE$§W;;Reserva actual: §Y$VALUE$§W;;;;;;;;;x;
POP_DAILY_INTEREST;Juros da Poupança: §Y$VAL$§W¤;Intérêts d'épargne : §Y$VAL$§W¤;Sparzinsen: §Y$VAL$§W;;Interés de los ahorros: §Y$VAL$§W¤;;;;;;;;;x;
MODIFIER_OVERSEAS_PRODUCTION_PENALTY;Penalidade no Ext. de  Factory/RGO: $VALUE$;Usine outre-mer/Pénalité des EAM : $VALUE$;Überseefabrik/RGO-Abzug: $VALUE$;;Fábrica en el exterior/Penalización TOR: $VALUE$;;;;;;;;x;;
PRODUCTION_FACTORY_EMPLOYEECOUNT_TOOLTIP2;Funcionários atuais: $EMPLOYEES$/$EMPLOYEE_MAX$;Employés actuels : $EMPLOYEES$ / $EMPLOYEE_MAX$;Derzeitige Angestellte: $EMPLOYEES$/$EMPLOYEE_MAX$;;Empleados actuales: $EMPLOYEES$/$EMPLOYEE_MAX$;;;;;;;;;x;
LIFERATING_EFFECT;$DIRECTION$ $VALUE$ de qualid. de vida\n;Habitabilité $DIRECTION$ $VALUE$\n;$DIRECTION$ $VALUE$ Lebensstandard\n;;$DIRECTION$ $VALUE$ de calidad de vida\n;;;;;;;;;x;
MILITARY_ARMY_COUNT_TOOLTIP;Número de exércitos: §Y$VALUE$§W;Nombre d'armées : §Y$VALUE$§W;Armeenanzahl: §Y$VALUE$§W;;Número de ejércitos: §Y$VALUE$§W;;;;;;;;;x;
MILITARY_NAVY_COUNT_TOOLTIP;Número de marinhas: §Y$VALUE$§W;Nombre de flottes : §Y$VALUE$§W;Flottenanzahl: §Y$VALUE$§W;;Número de armadas: §Y$VALUE$§W;;;;;;;;;x;
MILITARY_ARMY_CONSTRUCTION_TOOLTIP;Brigadas em construção: §Y$VALUE$§W;Régiments en formation : §Y$VALUE$§W;Im Bau befindliche Regimenter: §Y$VALUE$§W;;Brigadas en construcción: §Y$VALUE$§W;;;;;;;;;x;
MILITARY_NAVY_CONSTRUCTION_TOOLTIP;Navios em construção: §Y$VALUE$§W;Navires en construction : §Y$VALUE$§W;Im Bau befindliche Schiffe: §Y$VALUE$§W;;Barcos en construcción: §Y$VALUE$§W;;;;;;;;;x;
MILITARY_SORT_BY_TYPE_TOOLTIP;Ordenar por tipo de líder;Trier par type de chef;Nach Anführertyp sortieren;;Ordenar por tipo de líder;;;;;;;;;x;
MILITARY_SORT_BY_NAME_TOOLTIP;Ordenar por nome;Trier par nom;Nach Namen sortieren;;Ordenar por nombre;;;;;;;;;x;
MILITARY_SORT_BY_ASSIGNMENT_TOOLTIP;Ordenar por atribuição;Trier par affectation;Nach Aufgabe sortieren;;Ordenar por asignación;;;;;;;;;x;
MILITARY_SORT_BY_STRENGTH_TOOLTIP;Ordenar por força;Trier par force;Nach Stärke sortieren;;Ordenar por fuerza;;;;;;;;;x;
MILITARY_SORT_ASSIGNMENT;Atribuição;Affectation;Aufgabe;;Asignación;;;;;;;;;x;
MILITARY_BACKGROUND;Caractéristica: §Y$NAME$§W;Caractéristique : §Y$NAME$§W;Hintergrund: §Y$NAME$§W;;Trasfondo: §Y$NAME$§W;;;;;;;;;x;
MILITARY_PERSONALITY;Personalidade: §Y$NAME$§W;Personnalité : §Y$NAME$§W;Persönlichkeit: §Y$NAME$§W;;Personalidad: §Y$NAME$§W;;;;;;;;;x;
REMOVE_MILITARY_LEADER_NAME_TOOLTIP;§Y$NAME$§W foi atribuído a §Y$ARMY$§W,\natualmente situado em §Y$$LOCATION§W.;§Y$NAME$§W est attribué à §Y$ARMY$§W,\nactuellement situé à §Y$$LOCATION§W.;§Y$NAME$§W wurde §Y$ARMY$§W zugeteilt,\nderzeit stationiert in §Y$$LOCATION§W.;;§Y$NAME$§W se ha asignado a §Y$ARMY$§W,\nsituado actualmente en §Y$$LOCATION§W.;;;;;;;;;x;
MILITARY_STRENGTH_TOOLTIP2;A força da unidade está em §Y$PERCENT$%§W.\nForça: $VALUE$/§Y$MAX$§W;La force de l'unité est à §Y$PERCENT$ %§W.\nForce : $VALUE$/§Y$MAX$§W;Einheitsstärke ist bei §Y$PERCENT$%§W.\nStärke: $VALUE$/§Y$MAX$§W;;La fuerza de la unidad está al §Y$PERCENT$%§W.\nFuerza: $VALUE$/§Y$MAX$§W;;;;;;;;;x;
MILITARY_SHIPSTRENGTH_TOOLTIP2;A força da unidade está em §Y$PERCENT$%§W.;La force de l'unité est à §Y$PERCENT$ %§W.;Einheitsstärke ist bei §Y$PERCENT$%§W.;;La fuerza de la unidad está al §Y$PERCENT$%§W.;;;;;;;;;x;
MILITARY_REGIMENTS_TOOLTIP;Número de brigadas: §Y$VALUE$§W;Nombre de régiments : §Y$VALUE$§W;Regimenteranzahl: §Y$VALUE$§W;;Número de brigadas: §Y$VALUE$§W;;;;;;;;;x;
MILITARY_SHIPS_TOOLTIP;Número de navios: §Y$VALUE$§W;Nombre de navires : §Y$VALUE$§W;Schiffsanzahl: §Y$VALUE$§W;;Número de barcos: §Y$VALUE$§W;;;;;;;;;x;
MILITARY_CURRENT_LOCATION;Localização atual: §Y$LOC$§W;Position actuelle : §Y$LOC$§W;Aktuelle Position: §Y$VALUE$§W;;Situación actual: §Y$LOC$§W;;;;;;;;;x;
REMOVE_MILITARY_MOBILIZE;Mobilizar nossa população;Mobiliser notre population;Bevölkerung mobilisieren;;Movilizar a nuestra población;;;;;;;;;x;
REMOVE_MILITARY_MOBILIZE_DESC;TODO Write mobilize desc;TODO Write mobilize desc;TODO Write mobilize desc;;TODO Escribir movilizar desc;;;;;;;;;x;
